date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:33	96/96	---MCZ	200	added ('OK')	text/plain	date:Sat,%2002%20May%202026%2018:33:34%20GMT	https://icglrcertification.org/robots.txt		(from )
21:33:34	62238/62238	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:33:36%20GMT	https://icglrcertification.org/	./SiteFiles/icglrcertification.org/index.html	(from )
21:33:35	117904/117904	---M--	200	added ('OK')	image/png	etag:%2269779713-1cc90%22	https://icglrcertification.org/static/assets/img/favicon.png	./SiteFiles/icglrcertification.org/static/assets/img/favicon.png	(from https://icglrcertification.org/)
21:33:36	232111/232111	---MCZ	200	added ('OK')	text/css	etag:W/%2269779713-38aaf%22	https://icglrcertification.org/static/assets/vendor/bootstrap/css/bootstrap.min.css	./SiteFiles/icglrcertification.org/static/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://icglrcertification.org/)
21:33:37	73887/73887	---MCZ	200	added ('OK')	text/css	etag:W/%2269779713-1209f%22	https://icglrcertification.org/static/assets/vendor/fontawesome/css/all.min.css	./SiteFiles/icglrcertification.org/static/assets/vendor/fontawesome/css/all.min.css	(from https://icglrcertification.org/)
21:33:38	17372/17372	---MCZ	200	added ('OK')	text/css	etag:W/%2269779713-43dc%22	https://icglrcertification.org/static/assets/vendor/glightbox/css/glightbox.css	./SiteFiles/icglrcertification.org/static/assets/vendor/glightbox/css/glightbox.css	(from https://icglrcertification.org/)
21:33:39	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2269779713-65c5%22	https://icglrcertification.org/static/assets/vendor/aos/css/aos.css	./SiteFiles/icglrcertification.org/static/assets/vendor/aos/css/aos.css	(from https://icglrcertification.org/)
21:33:40	18433/18433	---MCZ	200	added ('OK')	text/css	etag:W/%2269779713-4801%22	https://icglrcertification.org/static/assets/vendor/swiper/css/swiper-bundle.min.css	./SiteFiles/icglrcertification.org/static/assets/vendor/swiper/css/swiper-bundle.min.css	(from https://icglrcertification.org/)
21:33:41	126421/126421	---MCZ	200	added ('OK')	text/css	etag:W/%22698221bb-1edd5%22	https://icglrcertification.org/static/assets/css/main-css.css?v=1777746816	./SiteFiles/icglrcertification.org/static/assets/css/main-cssf509.css	(from https://icglrcertification.org/)
21:33:42	2400/2400	---MCZ	200	added ('OK')	text/css	etag:W/%2269779713-960%22	https://icglrcertification.org/static/assets/vendor/style-switcher/css/style-switcher.css	./SiteFiles/icglrcertification.org/static/assets/vendor/style-switcher/css/style-switcher.css	(from https://icglrcertification.org/)
21:33:43	809/809	---MCZ	200	added ('OK')	text/css	etag:W/%226977a35d-329%22	https://icglrcertification.org/static/map/map.css	./SiteFiles/icglrcertification.org/static/map/map.css	(from https://icglrcertification.org/)
21:33:44	795/795	---MCZ	200	added ('OK')	text/css	etag:W/%2269779713-31b%22	https://icglrcertification.org/static/assets/misc.css	./SiteFiles/icglrcertification.org/static/assets/misc.css	(from https://icglrcertification.org/)
21:33:46	71200/71200	---M--	200	added ('OK')	image/png	etag:%22697793d6-11620%22	https://www.icglrcertification.org/static/logo.png	./SiteFiles/www.icglrcertification.org/static/logo.png	(from https://icglrcertification.org/)
21:33:47	600/600	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269779713-258%22	https://icglrcertification.org/static/js/handler.js	./SiteFiles/icglrcertification.org/static/js/handler.js	(from https://icglrcertification.org/)
21:33:47	4582/4582	---MCZ	200	added ('OK')	application/javascript	etag:W/%22697793d6-11e6%22	https://icglrcertification.org/static/js/inst.js	./SiteFiles/icglrcertification.org/static/js/inst.js	(from https://icglrcertification.org/)
21:33:48	11614/11614	---M--	200	added ('OK')	image/png	etag:%2269779713-2d5e%22	https://icglrcertification.org/static/assets/img/logo.png	./SiteFiles/icglrcertification.org/static/assets/img/logo.png	(from https://icglrcertification.org/)
21:33:50	46259/46259	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:33:52%20GMT	https://icglrcertification.org/about	./SiteFiles/icglrcertification.org/about.html	(from https://icglrcertification.org/)
21:33:50	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2002%20May%202026%2018:33:53%20GMT	https://icglrcertification.org/verify	./SiteFiles/icglrcertification.org/verify	(from https://icglrcertification.org/)
21:33:52	35555/35555	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:33:53%20GMT	https://icglrcertification.org/verify/a1b2c3d4e5/	./SiteFiles/icglrcertification.org/verify/a1b2c3d4e5/index.html	(from https://icglrcertification.org/)
21:33:52	22107/22107	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:33:53%20GMT	https://icglrcertification.org/assessment	./SiteFiles/icglrcertification.org/assessment.html	(from https://icglrcertification.org/)
21:33:53	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2002%20May%202026%2018:33:55%20GMT	https://icglrcertification.org/get_application	./SiteFiles/icglrcertification.org/get_application.11.delayed	(from https://icglrcertification.org/)
21:33:53	36894/36894	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:33:56%20GMT	https://icglrcertification.org/compliance	./SiteFiles/icglrcertification.org/compliance.html	(from https://icglrcertification.org/)
21:33:55	24816/24816	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:33:56%20GMT	https://icglrcertification.org/contact	./SiteFiles/icglrcertification.org/contact.html	(from https://icglrcertification.org/)
21:33:56	34856/34856	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:33:57%20GMT	https://icglrcertification.org/apply/k3j2h1g4f5/	./SiteFiles/icglrcertification.org/apply/k3j2h1g4f5/index.html	(from https://icglrcertification.org/)
21:33:57	992570/992570	---M--	200	added ('OK')	image/png	etag:%2269779713-f253a%22	https://icglrcertification.org/static/assets/img/specimen.png	./SiteFiles/icglrcertification.org/static/assets/img/specimen.png	(from https://icglrcertification.org/)
21:33:57	17714/17714	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20May%202026%2018:33:59%20GMT	https://icglrcertification.org/blogpost.html	./SiteFiles/icglrcertification.org/blogpost.html	(from https://icglrcertification.org/)
21:33:58	311925/311925	---M--	200	added ('OK')	image/webp	etag:%2269779713-4c275%22	https://icglrcertification.org/static/assets/img/slider/1920x600-1.webp	./SiteFiles/icglrcertification.org/static/assets/img/slider/1920x600-1.webp	(from https://icglrcertification.org/)
21:33:58	4726/4726	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20May%202026%2018:34:00%20GMT	https://icglrcertification.org/cdn-cgi/l/email-protection	./SiteFiles/icglrcertification.org/cdn-cgi/l/email-protection	(from https://icglrcertification.org/)
21:34:00	25690/25690	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20May%202026%2018:34:01%20GMT	https://icglrcertification.org/features	./SiteFiles/icglrcertification.org/features.html	(from https://icglrcertification.org/)
21:34:01	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2002%20May%202026%2018:34:02%20GMT	https://icglrcertification.org/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	./SiteFiles/icglrcertification.org/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://icglrcertification.org/)
21:34:02	20757/20757	---MCZ	200	added ('OK')	application/javascript	etag:W/%226977aa3b-5115%22	https://icglrcertification.org/static/map/mdata.js	./SiteFiles/icglrcertification.org/static/map/mdata.js	(from https://icglrcertification.org/)
21:34:04	18593/18593	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269779713-48a1%22	https://icglrcertification.org/static/assets/vendor/bootstrap/js/popper.min.js	./SiteFiles/icglrcertification.org/static/assets/vendor/bootstrap/js/popper.min.js	(from https://icglrcertification.org/)
21:34:04	858805/858805	---MCZ	200	added ('OK')	application/javascript	etag:W/%226977e608-d1ab5%22	https://icglrcertification.org/static/map/worldmap.js	./SiteFiles/icglrcertification.org/static/map/worldmap.js	(from https://icglrcertification.org/)
21:34:05	60539/60539	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269779713-ec7b%22	https://icglrcertification.org/static/assets/vendor/bootstrap/js/bootstrap.min.js	./SiteFiles/icglrcertification.org/static/assets/vendor/bootstrap/js/bootstrap.min.js	(from https://icglrcertification.org/)
21:34:06	56300/56300	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269779713-dbec%22	https://icglrcertification.org/static/assets/vendor/glightbox/js/glightbox.min.js	./SiteFiles/icglrcertification.org/static/assets/vendor/glightbox/js/glightbox.min.js	(from https://icglrcertification.org/)
21:34:07	149800/149800	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269779713-24928%22	https://icglrcertification.org/static/assets/vendor/swiper/js/swiper-bundle.min.js	./SiteFiles/icglrcertification.org/static/assets/vendor/swiper/js/swiper-bundle.min.js	(from https://icglrcertification.org/)
21:34:08	14253/14253	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269779713-37ad%22	https://icglrcertification.org/static/assets/vendor/aos/js/aos.js	./SiteFiles/icglrcertification.org/static/assets/vendor/aos/js/aos.js	(from https://icglrcertification.org/)
21:34:09	24732/24732	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269779713-609c%22	https://icglrcertification.org/static/assets/js/main.js	./SiteFiles/icglrcertification.org/static/assets/js/main.js	(from https://icglrcertification.org/)
21:34:09	0/0	---M--	200	added ('OK')	application/javascript	etag:%2269779713-0%22	https://icglrcertification.org/static/assets/vendor/style-switcher/js/style-switcher.js	./SiteFiles/icglrcertification.org/static/assets/vendor/style-switcher/js/style-switcher.js	(from https://icglrcertification.org/)
